iid,dataname,epsilon,personalized,clean_per_class,poisoned_per_class,asr,cad
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.0000, 0.9808, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9929824471473694,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9705, 0.9803, 0.9938, 0.9820, 0.9906, 0.9862, 0.9736,
        0.9889])","tensor([0.9888, 0.9904, 0.9753, 0.0000, 0.9928, 0.9842, 0.9875, 0.9872, 0.9776,
        0.9899])",0.9803343415260316,0.0015907883644104
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9798, 0.9775, 0.0000, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9948717951774596,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.0000, 0.9875, 0.9824, 0.9776,
        0.9889])",0.985343873500824,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9904, 0.9761, 0.9803, 0.9928, 0.9820, 0.9895, 0.9806, 0.9775,
        0.9899])","tensor([0.9888, 0.9878, 0.9742, 0.9822, 0.9928, 0.9787, 0.0000, 0.9806, 0.9805,
        0.9889])",0.9884817004203796,0.0012664794921875
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9875, 0.9775, 0.9938, 0.9853, 0.9875, 0.0000, 0.9776,
        0.9889])",0.9863147735595704,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9808, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.0000,
        0.9889])",0.9806122183799744,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.0000])",0.9889224767684937,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.0000, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9887754917144777,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.0000, 0.9779, 0.9785, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.990350902080536,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.0000, 0.9785, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9798464775085448,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.0000, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9938461780548096,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9902, 0.9938, 0.0000, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9921082258224488,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9868, 0.9912, 0.9817, 0.9736, 0.9918, 0.9842, 0.9895, 0.9796, 0.9766,
        0.9869])","tensor([0.9888, 0.9895, 0.9808, 0.9727, 0.9928, 0.9842, 0.0000, 0.9825, 0.9795,
        0.9889])",0.9905462265014648,0.0019423365592956
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9804, 0.9938, 0.9853, 0.9875, 0.0000, 0.9776,
        0.9889])",0.985337257385254,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9794, 0.9938, 0.9853, 0.9875, 0.9824, 0.0000,
        0.9889])",0.9785714149475098,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9794, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.0000])",0.9889224767684937,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.0000, 0.9904, 0.9779, 0.9775, 0.9949, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9897959232330322,0.0015746355056762
